<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GGUS.US,60,20240411,170000,45.6,45.6,45.6,45.6,100,0
GGUS.US,60,20240412,210000,45.41,45.41,45.41,45.41,100,0
GGUS.US,60,20240417,180000,44.53,44.53,44.53,44.53,600,0
GGUS.US,60,20240418,190000,44.42,44.43,44.42,44.43,600,0
GGUS.US,60,20240430,220000,44.53,44.53,44.53,44.53,100,0
GGUS.US,60,20240515,170000,46.5893,46.61,46.58,46.58,770,0
GGUS.US,60,20240530,220000,46.33,46.33,46.33,46.33,200,0
GGUS.US,60,20240531,190000,45.8019,45.8019,45.8,45.8,7640,0
GGUS.US,60,20240531,220000,46.46,46.46,46.46,46.46,838989,0
GGUS.US,60,20240603,180000,46.53,46.56,46.53,46.54,2100,0
GGUS.US,60,20240605,190000,46.49,47.38,46.28,47.38,3424,0
GGUS.US,60,20240605,220000,47.54,47.54,47.54,47.54,4187496,0
GGUS.US,60,20240610,170000,47.51,47.51,47.5,47.51,42382,0
GGUS.US,60,20240610,220000,47.74,47.74,47.74,47.74,2000,0
GGUS.US,60,20240611,180000,47.79,47.8,47.78,47.79,4478,0
GGUS.US,60,20240613,160000,49.19,49.19,49.068,49.068,594,0
GGUS.US,60,20240613,210000,48.9075,48.9075,48.9075,48.9075,120,0
GGUS.US,60,20240613,220000,48.92,48.92,48.92,48.92,475,0
GGUS.US,60,20240614,160000,49.02,49.02,49.02,49.02,325,0
GGUS.US,60,20240621,220000,49.035,49.66,49.01,49.34,3206,0
GGUS.US,60,20240624,180000,49.3,49.3,49.3,49.3,100,0
GGUS.US,60,20240624,220000,48.99,48.99,48.97,48.97,600,0
GGUS.US,60,20240625,160000,49.16,49.16,49.09,49.09,330,0
GGUS.US,60,20240625,220000,49.19,49.2,49.19,49.2,1500,0
GGUS.US,60,20240626,180000,49.3,49.44,49.3,49.44,4268,0
GGUS.US,60,20240627,220000,49.37,49.55,49.37,49.53,5200,0
GGUS.US,60,20240628,170000,49.89,49.91,49.75,49.79,15198,0
GGUS.US,60,20240628,180000,49.79,49.79,49.73,49.73,600,0
GGUS.US,60,20240702,220000,49.45,50.1,49.45,50.1,900,0
GGUS.US,60,20240703,190000,50.4,50.4,50.4,50.4,400,0
GGUS.US,60,20240709,200000,51.08,51.11,51.08,51.11,67000,0
GGUS.US,60,20240709,210000,51.05,51.05,51.05,51.05,15800,0
GGUS.US,60,20240711,180000,50.7,50.7,50.7,50.7,100,0
GGUS.US,60,20240711,190000,50.63,50.63,50.63,50.63,320,0
GGUS.US,60,20240711,220000,50.72,50.72,50.72,50.72,100,0
GGUS.US,60,20240712,200000,51.2501,51.2501,51.2501,51.2501,100,0
GGUS.US,60,20240725,210000,48.02,48.02,48.02,48.02,103,0
GGUS.US,60,20240729,190000,48.48,48.48,48.48,48.48,673,0
GGUS.US,60,20240729,220000,48.31,48.31,48.31,48.31,127007,0
GGUS.US,60,20240731,190000,48.75,48.76,48.65,48.66,7500,0
GGUS.US,60,20240731,200000,48.66,48.76,48.53,48.69,8694,0
GGUS.US,60,20240731,220000,48.86,48.86,48.86,48.86,400,0
GGUS.US,60,20240801,200000,47.79,47.79,47.79,47.79,100,0
GGUS.US,60,20240802,190000,46.91,46.91,46.91,46.91,900,0
GGUS.US,60,20240802,200000,46.89,46.97,46.77,46.82,22093,0
