<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KWM.US,60,20250514,160000,2.75,3,2.75,3,29322,0
KWM.US,60,20250514,170000,3.49,4.19,2.11,2.415,323134,0
KWM.US,60,20250514,180000,2.4179,2.9099,2.37,2.64,49500,0
KWM.US,60,20250514,190000,2.7,2.73,2.42,2.51,36154,0
KWM.US,60,20250514,200000,2.511,2.6,2.46,2.48,35560,0
KWM.US,60,20250514,210000,2.4798,2.8363,2.32,2.65,79848,0
KWM.US,60,20250514,220000,2.645,2.89,2.45,2.6,79935,0
KWM.US,60,20250515,160000,2.65,3,2.4568,2.8,56928,0
KWM.US,60,20250515,170000,2.89,2.89,2.32,2.36,62173,0
KWM.US,60,20250515,180000,2.35,2.41,2.01,2.105,102742,0
KWM.US,60,20250515,190000,2.105,2.15,1.85,1.93,94413,0
KWM.US,60,20250515,200000,1.93,2,1.87,1.87,60754,0
KWM.US,60,20250515,210000,1.87,1.8882,1.6,1.6,113269,0
KWM.US,60,20250515,220000,1.6,1.99,1.6,1.79,94463,0
KWM.US,60,20250516,160000,1.86,1.92,1.81,1.89,30263,0
KWM.US,60,20250516,170000,1.8605,1.87,1.74,1.8095,33379,0
KWM.US,60,20250516,180000,1.7603,1.86,1.75,1.8499,47244,0
KWM.US,60,20250516,190000,1.84,2.08,1.79,1.999,49615,0
KWM.US,60,20250516,200000,1.992,2.0799,1.9001,2,29156,0
KWM.US,60,20250516,210000,2.055,2.08,1.97,2,35271,0
KWM.US,60,20250516,220000,1.99,2.0493,1.954,2.03,25475,0
KWM.US,60,20250519,160000,1.9,2.03,1.9,1.9,28174,0
KWM.US,60,20250519,170000,1.95,2.03,1.9,1.92,33166,0
KWM.US,60,20250519,180000,1.9265,1.97,1.82,1.895,27263,0
KWM.US,60,20250519,190000,1.8875,1.94,1.75,1.8,44424,0
KWM.US,60,20250519,200000,1.8586,1.86,1.78,1.81,23372,0
KWM.US,60,20250519,210000,1.81,1.86,1.77,1.804,9104,0
KWM.US,60,20250519,220000,1.81,1.89,1.81,1.89,15233,0
KWM.US,60,20250520,160000,1.85,1.89,1.71,1.77,23716,0
KWM.US,60,20250520,170000,1.805,1.88,1.76,1.8,13795,0
KWM.US,60,20250520,180000,1.81,1.88,1.78,1.78,16327,0
KWM.US,60,20250520,190000,1.81,1.83,1.72,1.8153,49323,0
KWM.US,60,20250520,200000,1.7401,1.7999,1.7,1.74,18012,0
KWM.US,60,20250520,210000,1.74,1.78,1.69,1.775,26805,0
