<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARKOW.US,60,20240411,160000,0.439,0.439,0.3073,0.3073,400,0
ARKOW.US,60,20240412,200000,0.2625,0.2625,0.2625,0.2625,500,0
ARKOW.US,60,20240412,220000,0.26,0.26,0.26,0.26,1000,0
ARKOW.US,60,20240415,170000,0.2101,0.2101,0.18,0.18,43516,0
ARKOW.US,60,20240415,180000,0.25,0.25,0.24,0.24,1100,0
ARKOW.US,60,20240415,190000,0.2375,0.2375,0.2375,0.2375,100,0
ARKOW.US,60,20240415,210000,0.237,0.237,0.237,0.237,100,0
ARKOW.US,60,20240415,220000,0.236,0.236,0.235,0.235,200,0
ARKOW.US,60,20240416,200000,0.2271,0.239,0.2271,0.239,200,0
ARKOW.US,60,20240422,160000,0.16,0.19,0.16,0.19,700,0
ARKOW.US,60,20240422,200000,0.1825,0.1875,0.1795,0.185,26751,0
ARKOW.US,60,20240422,210000,0.1875,0.1875,0.1875,0.1875,1000,0
ARKOW.US,60,20240422,220000,0.19,0.19,0.19,0.19,100,0
ARKOW.US,60,20240423,180000,0.1625,0.165,0.1625,0.165,2684,0
ARKOW.US,60,20240423,200000,0.18,0.18,0.155,0.155,2000,0
ARKOW.US,60,20240423,210000,0.155,0.155,0.155,0.155,992,0
ARKOW.US,60,20240423,220000,0.1487,0.16,0.1475,0.1475,20492,0
ARKOW.US,60,20240424,160000,0.18,0.18,0.18,0.18,500,0
ARKOW.US,60,20240424,170000,0.17,0.17,0.14,0.14,1100,0
ARKOW.US,60,20240424,180000,0.1303,0.17,0.13,0.1639,2500,0
ARKOW.US,60,20240424,220000,0.137499,0.14,0.137499,0.137626,2025,0
ARKOW.US,60,20240425,170000,0.1649,0.1649,0.16,0.16,400,0
ARKOW.US,60,20240426,160000,0.1871,0.2075,0.1871,0.1975,400,0
ARKOW.US,60,20240426,180000,0.184,0.1949,0.1833,0.1949,5300,0
ARKOW.US,60,20240426,200000,0.1949,0.2075,0.1838,0.1838,2600,0
ARKOW.US,60,20240426,210000,0.1802,0.2225,0.1802,0.1845,2100,0
ARKOW.US,60,20240429,160000,0.23,0.23,0.23,0.23,100,0
ARKOW.US,60,20240429,170000,0.226,0.226,0.225,0.225,400,0
ARKOW.US,60,20240429,180000,0.2299,0.2375,0.1904,0.1946,6692,0
ARKOW.US,60,20240429,190000,0.225,0.23,0.225,0.225,600,0
ARKOW.US,60,20240429,200000,0.2259,0.2259,0.2259,0.2259,100,0
ARKOW.US,60,20240429,210000,0.215,0.215,0.215,0.215,100,0
ARKOW.US,60,20240429,220000,0.2174,0.2174,0.21,0.21,900,0
ARKOW.US,60,20240430,170000,0.1725,0.175,0.15,0.15,2900,0
ARKOW.US,60,20240430,180000,0.1475,0.1475,0.095,0.095,19702,0
ARKOW.US,60,20240430,190000,0.1025,0.135,0.0925,0.1308,11028,0
ARKOW.US,60,20240430,200000,0.1375,0.15,0.1375,0.142499,7092,0
ARKOW.US,60,20240430,220000,0.1824,0.185,0.165,0.165,4992,0
ARKOW.US,60,20240501,160000,0.1649,0.1649,0.1275,0.1275,4409,0
ARKOW.US,60,20240501,170000,0.1275,0.1275,0.105,0.105,478,0
ARKOW.US,60,20240501,190000,0.1,0.12,0.1,0.115,33400,0
ARKOW.US,60,20240501,210000,0.0976,0.0976,0.0976,0.0976,100,0
ARKOW.US,60,20240502,160000,0.12,0.12,0.12,0.12,100,0
ARKOW.US,60,20240502,170000,0.0926,0.1099,0.0926,0.1,1500,0
ARKOW.US,60,20240502,180000,0.0876,0.0876,0.0876,0.0876,100,0
ARKOW.US,60,20240502,220000,0.0975,0.0975,0.0951,0.0951,2000,0
ARKOW.US,60,20240503,170000,0.1025,0.1025,0.1001,0.1001,1992,0
ARKOW.US,60,20240503,180000,0.103768,0.103768,0.103768,0.103768,1344,0
ARKOW.US,60,20240503,190000,0.1038,0.1038,0.1038,0.1038,1200,0
ARKOW.US,60,20240503,220000,0.0876,0.0876,0.052,0.0751,5339,0
ARKOW.US,60,20240506,170000,0.1,0.1001,0.1,0.1,400,0
ARKOW.US,60,20240506,180000,0.1,0.12,0.1,0.12,2100,0
ARKOW.US,60,20240506,190000,0.12,0.1525,0.1199,0.1525,4436,0
ARKOW.US,60,20240506,200000,0.1545,0.1623,0.1545,0.1545,2638,0
ARKOW.US,60,20240506,220000,0.135,0.135,0.12,0.1294,3072,0
ARKOW.US,60,20240507,170000,0.1525,0.1525,0.1,0.1,2355,0
ARKOW.US,60,20240507,180000,0.14,0.14,0.14,0.14,500,0
ARKOW.US,60,20240507,190000,0.13,0.13,0.13,0.13,1200,0
ARKOW.US,60,20240507,200000,0.1125,0.1125,0.11,0.11,1900,0
ARKOW.US,60,20240507,210000,0.11,0.11,0.102,0.102,2960,0
ARKOW.US,60,20240508,170000,0.16,0.33,0.16,0.26,167418,0
ARKOW.US,60,20240508,180000,0.2601,0.2799,0.231,0.231,20187,0
ARKOW.US,60,20240508,190000,0.2315,0.2418,0.231,0.2418,3521,0
ARKOW.US,60,20240508,200000,0.2665,0.3014,0.2665,0.29,63427,0
ARKOW.US,60,20240508,210000,0.2925,0.2925,0.261,0.261,25820,0
ARKOW.US,60,20240508,220000,0.261,0.261,0.241,0.241,8032,0
ARKOW.US,60,20240509,160000,0.241,0.241,0.185,0.22,500,0
ARKOW.US,60,20240509,170000,0.2409,0.2409,0.2409,0.2409,100,0
ARKOW.US,60,20240509,180000,0.22,0.22,0.22,0.22,800,0
ARKOW.US,60,20240509,190000,0.2,0.2,0.2,0.2,314,0
ARKOW.US,60,20240509,210000,0.25,0.25,0.25,0.25,500,0
ARKOW.US,60,20240509,220000,0.25,0.25,0.25,0.25,2277,0
ARKOW.US,60,20240510,210000,0.25,0.25,0.249,0.25,6667,0
ARKOW.US,60,20240513,190000,0.28,0.28,0.2503,0.2503,679,0
ARKOW.US,60,20240513,200000,0.27,0.27,0.27,0.27,100,0
ARKOW.US,60,20240514,170000,0.33,0.38,0.33,0.3622,94323,0
ARKOW.US,60,20240514,180000,0.36,0.3625,0.36,0.3624,51100,0
ARKOW.US,60,20240514,210000,0.36,0.36,0.36,0.36,734,0
ARKOW.US,60,20240514,220000,0.36,0.385,0.35,0.37,31522,0
ARKOW.US,60,20240515,160000,0.2673,0.2673,0.2501,0.2501,834,0
ARKOW.US,60,20240515,180000,0.32,0.32,0.32,0.32,100,0
ARKOW.US,60,20240516,160000,0.35,0.35,0.33,0.33,857,0
ARKOW.US,60,20240516,170000,0.3199,0.33,0.3199,0.33,200,0
ARKOW.US,60,20240516,190000,0.33,0.38,0.33,0.38,29700,0
ARKOW.US,60,20240517,180000,0.3599,0.37,0.3599,0.37,3294,0
ARKOW.US,60,20240517,200000,0.38,0.39,0.38,0.39,33106,0
ARKOW.US,60,20240517,210000,0.3999,0.419,0.39,0.419,10498,0
ARKOW.US,60,20240517,220000,0.39,0.4099,0.31,0.4099,3420,0
ARKOW.US,60,20240520,160000,0.45,0.45,0.45,0.45,100,0
ARKOW.US,60,20240520,190000,0.415,0.415,0.415,0.415,100,0
ARKOW.US,60,20240520,210000,0.3519,0.3519,0.3519,0.3519,100,0
ARKOW.US,60,20240521,200000,0.3999,0.3999,0.3999,0.3999,100,0
ARKOW.US,60,20240522,220000,0.4049,0.4049,0.4049,0.4049,500,0
ARKOW.US,60,20240524,160000,0.2901,0.2901,0.2801,0.2801,2951,0
ARKOW.US,60,20240529,170000,0.372449,0.3924,0.2851,0.3425,3721,0
ARKOW.US,60,20240531,160000,0.38,0.4275,0.38,0.4275,6248,0
ARKOW.US,60,20240531,170000,0.42,0.42,0.42,0.42,300,0
ARKOW.US,60,20240531,180000,0.44,0.44,0.44,0.44,100,0
ARKOW.US,60,20240531,190000,0.42,0.42,0.42,0.42,30000,0
ARKOW.US,60,20240531,200000,0.42,0.4201,0.42,0.42,11000,0
ARKOW.US,60,20240531,220000,0.42,0.42,0.42,0.42,7518,0
ARKOW.US,60,20240606,170000,0.42,0.42,0.2975,0.399,20100,0
ARKOW.US,60,20240606,180000,0.3891,0.416,0.2341,0.4025,67422,0
ARKOW.US,60,20240606,190000,0.4025,0.4125,0.4,0.4,1700,0
ARKOW.US,60,20240606,200000,0.4175,0.4175,0.4175,0.4175,100,0
ARKOW.US,60,20240606,210000,0.42,0.42,0.42,0.42,100,0
ARKOW.US,60,20240606,220000,0.41,0.41,0.41,0.41,200,0
ARKOW.US,60,20240610,200000,0.4,0.4,0.4,0.4,1000,0
ARKOW.US,60,20240610,220000,0.4,0.4001,0.36,0.361,12100,0
ARKOW.US,60,20240611,170000,0.4001,0.4001,0.4001,0.4001,1400,0
ARKOW.US,60,20240612,180000,0.4048,0.48,0.4048,0.48,5100,0
ARKOW.US,60,20240612,190000,0.48,0.48,0.48,0.48,900,0
ARKOW.US,60,20240613,180000,0.48,0.48,0.48,0.48,2000,0
ARKOW.US,60,20240614,200000,0.3602,0.4675,0.3602,0.4675,20300,0
ARKOW.US,60,20240614,220000,0.4525,0.4525,0.44,0.44005,6495,0
ARKOW.US,60,20240617,160000,0.42,0.42,0.42,0.42,200,0
ARKOW.US,60,20240620,220000,0.48,0.48,0.40385,0.40385,1700,0
ARKOW.US,60,20240621,190000,0.49,0.49,0.473751,0.473751,1000,0
ARKOW.US,60,20240621,200000,0.4725,0.4725,0.47,0.47,5000,0
ARKOW.US,60,20240621,210000,0.47005,0.47005,0.47005,0.47005,1000,0
ARKOW.US,60,20240621,220000,0.47005,0.47005,0.47005,0.47005,1200,0
ARKOW.US,60,20240627,210000,0.4675,0.4675,0.4675,0.4675,200,0
ARKOW.US,60,20240628,170000,0.3801,0.5675,0.37,0.5675,448,0
ARKOW.US,60,20240628,220000,0.3901,0.4775,0.3901,0.4775,500,0
ARKOW.US,60,20240716,210000,0.465,0.5,0.465,0.5,32002,0
ARKOW.US,60,20240717,170000,0.4975,0.5075,0.4975,0.5075,51479,0
ARKOW.US,60,20240717,180000,0.5,0.5,0.5,0.5,127,0
ARKOW.US,60,20240717,210000,0.4975,0.5,0.4975,0.5,50000,0
ARKOW.US,60,20240724,220000,0.36,0.4646,0.36,0.4343,2200,0
ARKOW.US,60,20240725,170000,0.479,0.479,0.479,0.479,200,0
ARKOW.US,60,20240730,200000,0.4742,0.4742,0.4742,0.4742,100,0
ARKOW.US,60,20240805,190000,0.5475,0.5475,0.35,0.35,200,0
ARKOW.US,60,20240806,160000,0.4589,0.4589,0.4589,0.4589,108,0
ARKOW.US,60,20240807,180000,0.5475,0.55,0.5421,0.55,10446,0
ARKOW.US,60,20240807,190000,0.5484,0.5484,0.5484,0.5484,100,0
ARKOW.US,60,20240808,170000,0.5324,0.5324,0.5175,0.52,300,0
ARKOW.US,60,20240808,190000,0.51,0.51,0.4795,0.4795,2500,0
ARKOW.US,60,20240809,180000,0.4786,0.4786,0.4786,0.4786,200,0
ARKOW.US,60,20240812,170000,0.49,0.49,0.49,0.49,300,0
ARKOW.US,60,20240812,180000,0.4901,0.4901,0.49,0.4901,800,0
ARKOW.US,60,20240813,170000,0.5465,0.5465,0.4919,0.4919,1200,0
ARKOW.US,60,20240813,190000,0.4763,0.4763,0.4763,0.4763,200,0
ARKOW.US,60,20240813,200000,0.4026,0.4026,0.4026,0.4026,220,0
ARKOW.US,60,20240813,210000,0.47,0.47,0.4653,0.4653,1600,0
ARKOW.US,60,20240815,190000,0.32,0.32,0.32,0.32,500,0
ARKOW.US,60,20240815,210000,0.45,0.45,0.45,0.45,100,0
ARKOW.US,60,20240815,220000,0.4545,0.4545,0.45,0.45,240,0
ARKOW.US,60,20240816,190000,0.5,1.19,0.5,0.65,6189,0
