<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUUU.US,60,20250814,170000,4,4.3,3.67,4.12,974895,0
BUUU.US,60,20250814,180000,4.12,4.17,4,4.02,352067,0
BUUU.US,60,20250814,190000,4.005,4.04,4,4.01,56411,0
BUUU.US,60,20250814,200000,4.0029,4.0105,4,4.005,47105,0
BUUU.US,60,20250814,210000,4.005,4.025,4,4.025,13333,0
BUUU.US,60,20250814,220000,4.05,4.13,4,4,135704,0
BUUU.US,60,20250815,160000,3.79,4.15,3.7605,4.15,208288,0
BUUU.US,60,20250815,170000,4.1,4.22,4.1,4.22,382988,0
BUUU.US,60,20250815,180000,4.22,4.23,4.2,4.22,278670,0
BUUU.US,60,20250815,190000,4.22,4.23,4.21,4.2198,72946,0
BUUU.US,60,20250815,200000,4.21,4.21,4.2,4.2,22872,0
BUUU.US,60,20250815,210000,4.2,4.21,4.2,4.2,17451,0
BUUU.US,60,20250815,220000,4.2,4.21,4.13,4.13,112483,0
BUUU.US,60,20250818,160000,4.04,4.5,3.98,4.25,71861,0
BUUU.US,60,20250818,170000,4.25,4.3,4.13,4.195,52172,0
BUUU.US,60,20250818,180000,4.1968,4.25,4.1501,4.1673,11557,0
BUUU.US,60,20250818,190000,4.17,4.2,4.17,4.1869,3529,0
BUUU.US,60,20250818,200000,4.1999,4.24,4.15,4.18,3285,0
BUUU.US,60,20250818,210000,4.175,4.175,4.1543,4.17,1303,0
BUUU.US,60,20250818,220000,4.16,4.24,4.15,4.24,10642,0
BUUU.US,60,20250819,160000,4.13,4.25,4.13,4.21,14177,0
BUUU.US,60,20250819,170000,4.21,4.2806,4.2,4.25,43740,0
BUUU.US,60,20250819,180000,4.25,4.27,4.22,4.24,32401,0
BUUU.US,60,20250819,190000,4.22,4.23,4.15,4.2,5580,0
BUUU.US,60,20250819,200000,4.1589,4.1589,4.1582,4.1582,270,0
BUUU.US,60,20250819,210000,4.15,4.1569,4.15,4.1501,2069,0
BUUU.US,60,20250819,220000,4.1602,4.2,4.16,4.1642,2786,0
BUUU.US,60,20250820,160000,3.97,4.31,3.97,4.25,22465,0
BUUU.US,60,20250820,170000,4.26,4.35,4.25,4.35,15329,0
BUUU.US,60,20250820,180000,4.302,4.34,4.3,4.34,15814,0
BUUU.US,60,20250820,190000,4.3,4.34,4.3,4.31,1431,0
BUUU.US,60,20250820,200000,4.31,4.31,4.3,4.3,601,0
BUUU.US,60,20250820,210000,4.2775,4.28,4.25,4.25,2400,0
BUUU.US,60,20250820,220000,4.28,4.39,4.28,4.3,1493,0
BUUU.US,60,20250821,160000,4.3,4.5,4.3,4.5,12373,0
BUUU.US,60,20250821,170000,4.535,4.62,4.45,4.46,4999,0
BUUU.US,60,20250821,180000,4.4668,4.54,4.45,4.47,6779,0
BUUU.US,60,20250821,190000,4.48,4.5,4.47,4.5,10575,0
BUUU.US,60,20250821,200000,4.5,4.71,4.5,4.5102,65390,0
BUUU.US,60,20250821,210000,4.667,4.6799,4.6,4.6,3800,0
BUUU.US,60,20250821,220000,4.64,4.68,4.6,4.65,14276,0
