<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
V.US,60,20240411,160000,271.971,272.428,270.839,271.092,228687.50730517117,0
V.US,60,20240411,170000,271.137,271.752,270.163,271.197,269012.12455231,0
V.US,60,20240411,180000,271.177,272.676,271.157,272.636,211961.64672612,0
V.US,60,20240411,190000,272.656,272.715,272.179,272.546,196094.14256277,0
V.US,60,20240411,200000,272.566,273.708,272.363,273.589,219732.19019355,0
V.US,60,20240411,210000,273.599,274.234,273.569,274.14,198821.3383577,0
V.US,60,20240411,220000,274.155,274.432,273.5,273.639,3567946.8369602,0
V.US,60,20240412,160000,273.51,274.928,272.884,274.823,418655.2820700125,0
V.US,60,20240412,170000,274.721,274.821,273.232,274.016,421814.67845454,0
V.US,60,20240412,180000,273.986,274.601,273.609,274.065,245050.68207477,0
V.US,60,20240412,190000,274.076,274.105,272.904,273.167,286020.07409426,0
V.US,60,20240412,200000,273.167,273.286,272.026,272.646,271638.57428906,0
V.US,60,20240412,210000,272.666,273.415,272.378,273.192,270306.71139992,0
V.US,60,20240412,220000,273.182,274.274,272.874,273.916,3658441.9837204,0
V.US,60,20240415,160000,275.833,275.853,272.278,274.006,305952.68170517957,0
V.US,60,20240415,170000,273.991,274.284,272.438,272.611,304324.62540499,0
V.US,60,20240415,180000,272.626,273.241,272.209,273.152,206732.92630658,0
V.US,60,20240415,190000,273.162,273.375,271.693,271.912,220613.71820262,0
V.US,60,20240415,200000,271.901,271.901,268.645,269.529,343689.13271767,0
V.US,60,20240415,210000,269.306,269.947,268.559,269.301,192020.97943055,0
V.US,60,20240415,220000,269.231,269.391,268.338,269.271,3459440.3099186,0
V.US,60,20240416,160000,268.537,272.046,268.169,271.075,323750.48034326313,0
V.US,60,20240416,170000,271.087,271.197,269.371,270.168,225610.72268835,0
V.US,60,20240416,180000,270.223,271.087,269.474,270.393,183942.15302509,0
V.US,60,20240416,190000,270.393,270.889,270.134,270.651,128187.2695071,0
V.US,60,20240416,200000,270.661,270.779,269.401,270.313,135789.56705737,0
V.US,60,20240416,210000,270.243,271.296,269.261,271.127,189559.75322921,0
V.US,60,20240416,220000,271.127,271.187,269.221,269.341,1286499.9615232,0
V.US,60,20240417,160000,271.276,271.971,270.676,271.564,216074.10082103178,0
V.US,60,20240417,170000,271.614,271.757,270.433,270.759,226435.83290485,0
V.US,60,20240417,180000,270.859,271.189,269.792,270.213,144000.37079904,0
V.US,60,20240417,190000,270.163,270.443,269.49,269.927,166027.48895952,0
V.US,60,20240417,200000,269.877,270.879,269.876,270.719,186289.53618069,0
V.US,60,20240417,210000,270.719,271.528,270.373,270.661,136157.29016973,0
V.US,60,20240417,220000,270.651,271.276,269.987,270.671,2830697.2578046,0
V.US,60,20240418,160000,270.552,270.979,269.608,270.944,204599.12479432666,0
V.US,60,20240418,170000,270.909,271.127,269.927,270.869,197620.4453442,0
V.US,60,20240418,180000,270.769,271.102,270.293,270.651,92048.650977346,0
V.US,60,20240418,190000,270.681,270.919,269.261,269.539,156480.79248638,0
V.US,60,20240418,200000,269.577,269.677,268.174,268.953,190086.65511349,0
V.US,60,20240418,210000,268.915,268.993,267.862,268.031,209559.86069911,0
V.US,60,20240418,220000,268.011,269.559,267.981,269.351,4260173.0027152,0
V.US,60,20240419,160000,269.461,269.987,267.698,268.264,712888.1748271094,0
V.US,60,20240419,170000,268.254,268.827,266.839,267.693,447712.4601703,0
V.US,60,20240419,180000,267.658,267.901,267.068,267.485,202370.62198738,0
V.US,60,20240419,190000,267.455,267.822,266.338,267.087,206523.37450557,0
V.US,60,20240419,200000,267.087,268.209,266.897,267.832,168562.25978333,0
V.US,60,20240419,210000,267.827,267.827,266.303,266.789,278808.67124973,0
V.US,60,20240419,220000,266.75,268.239,266.65,267.713,753776.97000006,0
V.US,60,20240422,160000,268.943,269.276,267.365,268.358,174602.99343180537,0
V.US,60,20240422,170000,268.472,268.855,268.065,268.259,293339.27522104,0
V.US,60,20240422,180000,268.239,268.915,268.089,268.895,228855.75322233,0
V.US,60,20240422,190000,268.89,269.737,268.885,269.737,170433.11408373,0
V.US,60,20240422,200000,269.727,271.465,269.549,271.256,172706.95261686,0
V.US,60,20240422,210000,271.192,271.733,270.879,270.969,199827.79147892,0
V.US,60,20240422,220000,270.949,270.999,270.056,270.313,3409854.1075429,0
V.US,60,20240423,160000,271.981,272.398,270.69,271.197,391555.59988016693,0
V.US,60,20240423,170000,271.207,272.546,270.819,272.522,350307.14127952,0
V.US,60,20240423,180000,272.497,272.527,271.058,271.261,289540.14136707,0
V.US,60,20240423,190000,271.276,272.378,271.216,272.219,337910.33882047,0
V.US,60,20240423,200000,272.189,272.418,271.624,272.154,323005.96697331,0
V.US,60,20240423,210000,272.16,272.201,271.4,271.643,345591.21829611,0
V.US,60,20240423,220000,271.624,272.854,271.495,272.1,1977446.6523393,0
